north,nord
northeast,nord-est
east,est
southeast,sud-est
south,sud
southwest,sud-ouest
west,ouest
northwest,nord-ouest
left,gauche
sharpleft,serrÌ© ÌÊ gauche
slightlyleft,lÌ©gÌ¬rement ÌÊ gauche
right,droite
sharpright,serrÌ© ÌÊ droite
slightlyright,lÌ©gÌ¬rement ÌÊ droite
straighton,tout droit
Start {0}.,Commencez {0}.
Arrived at destination.,ArrivÌ© ÌÊ destination.
Take the first exit at the next roundabout.,Prenez la premiÌ¬re sortie au rond-point suivant.
Take the second exit at the next roundabout.,Prenez la deuxiÌ¬me sortie au rond-point suivant.
Take the third exit at the next roundabout.,Prenez la troisiÌ¬me sortie au rond-point suivant.
Go {0} on {1}.,Allez {0} par {1}.
Go {0}.,Allez {0}.
Go {0} on the {1} route.,Allez {0} par la {1} route.
Go {0} and leave the cyclenetwork on {1}.,Allez {0} et sortez du rÌ©seau cyclable par {1}.
Go {0} and leave the cyclenetwork.,Allez {0} et sortez du rÌ©seau cyclable.
Go {0} and enter the cyclenetwork on the {1} route.,Allez {0} et entrez le rÌ©seau cyclable par la {1} route.
Go {0} and enter the cyclenetwork.,Allez {0} et entrez le rÌ©seau cyclable.
